"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x28231417","x1368585802108841984",2021-03-07 15:34:16,"gefcamposs","Dias 44, 45, 46, 47 e 48. Pelo menos a irmã, enfermeira, já tomou a primeira dose da #vacina na última sexta feira. 🙏","Twitter for Android",117,"x1366899208096264194","x28231417","gefcamposs",FALSE,FALSE,0,0,,,"vacina",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/590a9db327969e51.json","Betim","Betim, Brasil","city","Brazil","BR","NA NA","NA NA","-44.31824 -44.0675 -44.0675 -44.31824 -20.052555 -20.052555 -19.8314598 -19.8314598","https://twitter.com/gefcamposs/status/1368585802108841984","Gustavo Campos","BH/Betim/Esmeraldas","Um cão que guarda as estrelas. Jornalista/Repórter Fotográfico 📸",,FALSE,249,712,4,7907,7420,2009-04-01 23:56:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/28231417/1433850876","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098777532994932736/KYkY_Y40_normal.jpg"
"x909485176471867394","x1368581742362300419",2021-03-07 15:18:09,"StanBrum","O Brasil ta igual Titanic qdo bateu. O capitão não assume que bateu, as pessoas comem e dançam enquanto ele afunda. ESTAMOS NAQUELE MOMENTO EM QUE NÃO HÁ BOTES PARA TODOS. #forabolsonaro #desgoverno #foracorja #familicia #mansaoflavio #cadeavacina #vacina #debocheflavio #justica","Twitter for Android",279,,,,FALSE,FALSE,0,0,,,"forabolsonaro desgoverno foracorja familicia mansaoflavio cadeavacina vacina debocheflavio justica",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StanBrum/status/1368581742362300419","Stan Brum","","",,FALSE,6,77,0,134,526,2017-09-17 18:32:18,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1041531405086470145/JmYAmPGV_normal.jpg"
"x909485176471867394","x1368565415799046144",2021-03-07 14:13:16,"StanBrum","Aqui vai virar uma Venezuela, diz o ministro.  Podia começar pelo preço do combustível né, lá são 5 centavos.  #forabolsonaro #desgoverno #foracorja #familicia #mansaoflavio #cadeavacina #vacina #debocheflavio #justica","Twitter for Android",218,,,,FALSE,FALSE,0,0,,,"forabolsonaro desgoverno foracorja familicia mansaoflavio cadeavacina vacina debocheflavio justica",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StanBrum/status/1368565415799046144","Stan Brum","","",,FALSE,6,77,0,134,526,2017-09-17 18:32:18,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1041531405086470145/JmYAmPGV_normal.jpg"
"x14306125","x1368581049211568129",2021-03-07 15:15:23,"tvcultura","Como os mais jovens são menos suscetíveis de desenvolver a covid-19, as fabricantes de vacinas priorizaram os testes em adultos. Mas como isso afeta nossas chances de atingir a 'imunidade de rebanho'?
#vacina #Covid19 

https://t.co/y5pmBv8D1T","TweetDeck",243,,,,FALSE,FALSE,8,2,,,"vacina Covid19",,"cultura.uol.com.br/noticias/bbc/5…","https://t.co/y5pmBv8D1T","https://cultura.uol.com.br/noticias/bbc/56284839_os-riscos-para-criancas-e-adolescentes-de-serem-os-ultimos-a-receberem-vacina.html",,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tvcultura/status/1368581049211568129","TV Cultura","São Paulo, Brasil","Twitter oficial da TV Cultura. Siga também os perfis: @jornal_cultura e @rodaviva. Acompanhe a nossa programação pelo nosso site!","https://t.co/8tGbgo6WBH",FALSE,857686,263,3604,50619,2204,2008-04-04 20:52:11,TRUE,"https://t.co/8tGbgo6WBH","http://www.tvcultura.com.br",,"https://pbs.twimg.com/profile_banners/14306125/1614777330","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308043992861487104/iUGIHoia_normal.jpg"
"x14306125","x1368559562316451840",2021-03-07 13:50:00,"tvcultura","Mais da metade da população recebeu pelo menos a primeira dose da vacina. Restaurantes, empresas, escolas e aeroportos voltam a abrir as portas. #Israel #vacina 

https://t.co/Uvax8ByCDS","TweetDeck",186,,,,FALSE,FALSE,32,8,,,"Israel vacina",,"cultura.uol.com.br/noticias/17317…","https://t.co/Uvax8ByCDS","https://cultura.uol.com.br/noticias/17317_israel-vacina-53-da-populacao-e-esta-prestes-a-acabar-com-as-restricoes-impostas-pela-covid-19.html",,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tvcultura/status/1368559562316451840","TV Cultura","São Paulo, Brasil","Twitter oficial da TV Cultura. Siga também os perfis: @jornal_cultura e @rodaviva. Acompanhe a nossa programação pelo nosso site!","https://t.co/8tGbgo6WBH",FALSE,857686,263,3604,50619,2204,2008-04-04 20:52:11,TRUE,"https://t.co/8tGbgo6WBH","http://www.tvcultura.com.br",,"https://pbs.twimg.com/profile_banners/14306125/1614777330","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308043992861487104/iUGIHoia_normal.jpg"
"x126750296","x1368559459598012421",2021-03-07 13:49:36,"jornal_cultura","Mais da metade da população recebeu pelo menos a primeira dose da vacina. Restaurantes, empresas, escolas e aeroportos voltam a abrir as portas. #Israel #vacina 

https://t.co/7eUoBTSVDY","TweetDeck",186,,,,FALSE,FALSE,21,4,,,"Israel vacina",,"cultura.uol.com.br/noticias/17317…","https://t.co/7eUoBTSVDY","https://cultura.uol.com.br/noticias/17317_israel-vacina-53-da-populacao-e-esta-prestes-a-acabar-com-as-restricoes-impostas-pela-covid-19.html",,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jornal_cultura/status/1368559459598012421","Jornalismo TV Cultura","","Acompanhe por aqui as notícias do #JornaldaCultura, #JTCultura e #OpiniãoTVCultura","https://t.co/mKNx0OvBAF",FALSE,162112,48,766,33074,183,2010-03-26 21:50:30,TRUE,"https://t.co/mKNx0OvBAF","http://instagram.com/jornalismotvcultura",,"https://pbs.twimg.com/profile_banners/126750296/1595619252","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1252333649548148737/tsuJ5rGh_normal.jpg"
"x126750296","x1368580917124554752",2021-03-07 15:14:52,"jornal_cultura","Como os mais jovens são menos suscetíveis de desenvolver a covid-19, as fabricantes de vacinas priorizaram os testes em adultos. Mas como isso afeta nossas chances de atingir a 'imunidade de rebanho'?
#vacina #Covid19 

https://t.co/ejpTwGWjMr","TweetDeck",243,,,,FALSE,FALSE,5,0,,,"vacina Covid19",,"cultura.uol.com.br/noticias/bbc/5…","https://t.co/ejpTwGWjMr","https://cultura.uol.com.br/noticias/bbc/56284839_os-riscos-para-criancas-e-adolescentes-de-serem-os-ultimos-a-receberem-vacina.html",,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jornal_cultura/status/1368580917124554752","Jornalismo TV Cultura","","Acompanhe por aqui as notícias do #JornaldaCultura, #JTCultura e #OpiniãoTVCultura","https://t.co/mKNx0OvBAF",FALSE,162112,48,766,33074,183,2010-03-26 21:50:30,TRUE,"https://t.co/mKNx0OvBAF","http://instagram.com/jornalismotvcultura",,"https://pbs.twimg.com/profile_banners/126750296/1595619252","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1252333649548148737/tsuJ5rGh_normal.jpg"
"x66402878","x1368578124577968132",2021-03-07 15:03:46,"ivanenglish","#vida #vacina https://t.co/1qT8HUa5Kq","Twitter for iPad",13,,,,FALSE,FALSE,0,0,,,"vida vacina",,,,,"http://pbs.twimg.com/media/Ev4qjE3XMAQSChK.jpg","https://t.co/1qT8HUa5Kq","https://twitter.com/ivanenglish/status/1368578124577968132/photo/1","photo","http://pbs.twimg.com/media/Ev4qjE3XMAQSChK.jpg","https://t.co/1qT8HUa5Kq","https://twitter.com/ivanenglish/status/1368578124577968132/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ivanenglish/status/1368578124577968132","Ivan Jesus Junior","","Livros na cabeça e música no coração, ou seria o contrário? Pai do Felipe e da Thaís. Professor e músico.",,FALSE,64,215,0,814,2280,2009-08-17 16:48:12,FALSE,,,,"https://pbs.twimg.com/profile_banners/66402878/1546475503","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1364745270450286595/aaW8XMUP_normal.jpg"
"x92814886","x1368577528571588610",2021-03-07 15:01:24,"pminoticias","VACINÔMETRO COVID-19 – 07/03/2021

#saude #itajuba #itajubá #prefeituradeitajubá #coronavirus #covid19 #mg #governo #minasgerais #vacina https://t.co/nK491G0NxC","mLabs - Gestão de Redes Sociais",136,,,,FALSE,FALSE,2,1,,,"saude itajuba itajubá prefeituradeitajubá coronavirus covid19 mg governo minasgerais vacina",,,,,"http://pbs.twimg.com/media/Ev4qAnjXMAAAzbf.jpg","https://t.co/nK491G0NxC","https://twitter.com/pminoticias/status/1368577528571588610/photo/1","photo","http://pbs.twimg.com/media/Ev4qAnjXMAAAzbf.jpg","https://t.co/nK491G0NxC","https://twitter.com/pminoticias/status/1368577528571588610/photo/1",,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/pminoticias/status/1368577528571588610","Prefeitura - Itajubá","Itajubá Minas Gerais","Twitter Oficial - Prefeitura Municipal de Itajubá - Av. Dr. Jerson Dias, 500 - Estiva - Itajubá - MG
Fala Cidadão: 0800-035-1788","http://t.co/roRwwDxF",FALSE,2024,778,18,4729,5,2009-11-26 19:05:39,FALSE,"http://t.co/roRwwDxF","http://www.itajuba.mg.gov.br",,"https://pbs.twimg.com/profile_banners/92814886/1597425434","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1294322193522991105/3FimmIkP_normal.jpg"
"x1701919776","x1368573474160013312",2021-03-07 14:45:17,"janderli1","Último jogo que fomos...07/03/2020! Ê saudade! #VacinaJa #VacinaParaTodos #vacina https://t.co/0Weu4hDckG","Twitter for Android",81,,,,FALSE,FALSE,5,0,,,"VacinaJa VacinaParaTodos vacina",,,,,"http://pbs.twimg.com/media/Ev4mUlBXMAQWmr7.jpg","https://t.co/0Weu4hDckG","https://twitter.com/janderli1/status/1368573474160013312/photo/1","photo","http://pbs.twimg.com/media/Ev4mUlBXMAQWmr7.jpg","https://t.co/0Weu4hDckG","https://twitter.com/janderli1/status/1368573474160013312/photo/1",,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/d9d978b087a92583.json","Belo Horizonte","Belo Horizonte, Brazil","city","Brazil","BR","NA NA","NA NA","-44.062789 -43.856856 -43.856856 -44.062789 -20.059816 -20.059816 -19.777568 -19.777568","https://twitter.com/janderli1/status/1368573474160013312","Janderli 🔬","Belo Horizonte, MG, Brasil","Atlético Mineiro, esquerdista, SUS, música, memes, minorias, farmácia, ciência, saúde!
#ForaBozo #ForaZema",,FALSE,615,1421,1,6875,37276,2013-08-26 13:36:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/1701919776/1590259821","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1283516555674947589/xcVBpYzj_normal.jpg"
